
==== DEVELOPMENT  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   77     30.9  0.2856   4.00   0.00    190.6   3.84     8677
   78     19.5  0.4438   4.00   0.00    190.2   4.07    29235
   79     29.8  0.2951   3.00   0.00    190.6   4.22    19112
-- olsr
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   50     32.3  0.2766   2.00   0.00    194.6   4.68    19979
   51     18.9  0.4681   4.00   0.00    190.5   4.00      531
   52     31.0  0.2902   4.00   0.00    195.7   4.43    10796
   53     34.0  0.2723   4.00   0.00    202.9   4.92    26750
   54     35.4  0.2557   4.00   0.00    196.4   4.05     4427
   55     42.3  0.2164   2.00   0.00    197.4   4.35     1158
   56     33.4  0.2604   3.00   0.00    187.6   4.45      930
   57     29.6  0.3011   2.00   0.00    192.4   4.25     1189
   58     33.1  0.2741   4.00   0.00    195.5   4.90      905
   59     37.8  0.2347   3.00   0.00    190.7   3.94     1043
   70     28.9  0.3026   4.00   0.00    190.0   4.22    13337
   71     14.9  0.5847   3.00   0.00    189.8   4.16     9278
   72     36.6  0.2447   3.00   0.00    196.9   4.26    42727
   73     36.8  0.2411   3.00   0.00    192.9   5.37    14360
   74     34.8  0.2499   3.00   0.00    188.2   4.17     5377
   75     29.3  0.3155   3.00   0.00    199.5   4.07     2886
   76     33.6  0.2658   3.00   0.00    192.9   4.48     3081
   77     30.9  0.2843   4.00   0.00    190.6   3.98     8153
   78     19.5  0.4417   4.00   0.00    190.2   4.23    28888
   79     29.8  0.2937   3.00   0.00    190.6   4.39    18583
-- batman
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   50     32.3  0.2701   2.00   0.00    190.3   4.51    19625
   51     18.9  0.4567   4.00   0.00    186.2   3.84      336
   52     31.0  0.2834   4.00   0.00    191.4   4.27    10458
   53     34.0  0.2658   4.00   0.00    198.6   4.74    26227
   54     35.4  0.2497   4.00   0.00    192.1   3.91     4019
   55     42.3  0.2113   2.00   0.00    193.1   4.19      739
   56     33.4  0.2541   3.00   0.00    183.3   4.29      588
   57     29.6  0.2939   2.00   0.00    188.1   4.09      865
   58     33.1  0.2676   4.00   0.00    191.2   4.72      576
   59     37.8  0.2291   3.00   0.00    186.4   3.80      661
   70     28.9  0.2953   4.00   0.00    185.7   4.06    13020
   71     14.9  0.5705   3.00   0.00    185.5   4.00     9109
   72     36.6  0.2390   3.00   0.00    192.6   4.11    42302
   73     36.8  0.2354   3.00   0.00    188.6   5.18    13946
   74     34.8  0.2439   3.00   0.00    183.9   4.01     5016
   75     29.3  0.3082   3.00   0.00    195.2   3.92     2568
   76     33.6  0.2595   3.00   0.00    188.6   4.32     2715
   77     30.9  0.2774   4.00   0.00    186.4   3.84     7808
   78     19.5  0.4310   4.00   0.00    185.9   4.07    28658
   79     29.8  0.2866   3.00   0.00    186.3   4.22    18241
-- aodv
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   50     32.3  0.2766   2.00   0.00    190.2   4.41    22408
   51     18.9  0.4674   4.00   0.00    186.1   3.75     1682
   52     31.0  0.2902   4.00   0.00    191.3   4.18    13146
   53     34.0  0.2729   4.00   0.00    198.5   4.64    29511
   54     35.4  0.2563   4.00   0.00    192.0   3.82     7387
   55     42.3  0.2166   2.00   0.00    193.0   4.10     3849
   56     33.4  0.2604   3.00   0.00    183.2   4.19     3193
   57     29.6  0.3017   2.00   0.00    188.0   4.00     3545
   58     33.1  0.2746   4.00   0.00    191.1   4.61     3142
   59     37.8  0.2344   3.00   0.00    186.3   3.72     3293
   70     28.9  0.3030   4.00   0.00    185.6   3.96    15714
   71     14.9  0.5832   3.00   0.00    185.4   3.90    10312
   72     36.6  0.2451   3.00   0.00    192.5   4.02    45752
   73     36.8  0.2419   3.00   0.00    188.5   5.06    17588
   74     34.8  0.2493   3.00   0.00    183.8   3.92     7802
   75     29.3  0.3158   3.00   0.00    195.1   3.83     5132
   76     33.6  0.2655   3.00   0.00    188.5   4.23     5525
   77     30.9  0.2844   4.00   0.00    186.2   3.76    10596
   78     19.5  0.4421   4.00   0.00    185.8   3.97    30495
   79     29.8  0.2938   3.00   0.00    186.2   4.13    20960
-- random
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   50     15.2  0.4998   1.61   0.39    192.3   4.45    72323
   51     12.9  0.6821   2.13   1.87    196.7   4.10    18811
   52     19.7  0.4197   3.47   0.53    187.9   4.26    48278
   53     18.8  0.4386   3.06   0.94    189.5   4.72    77896
   54     21.6  0.3888   2.00   2.00    199.2   4.31    46240
   55     21.8  0.3981   1.60   0.40    200.4   4.12    58714
   56     20.5  0.4133   1.95   1.05    190.5   4.27    38962
   57     16.7  0.4986   1.56   0.44    190.7   4.06    41679
   58     17.5  0.5119   2.34   1.66    199.3   4.47    46438
   59     20.8  0.3902   2.10   0.90    188.8   4.28    49194
   70     16.0  0.5072   3.34   0.66    192.8   4.12    54401
   71     13.0  0.6358   2.23   0.77    189.8   3.75    17836
   72     19.8  0.3968   2.22   0.78    199.9   4.09    92177
   73     19.3  0.4437   1.83   1.17    201.4   4.74    72203
   74     18.9  0.4808   1.60   1.40    193.7   3.80    63055
   75     20.6  0.4318   2.29   0.71    201.7   3.99    31681
   76     20.9  0.4580   1.70   1.30    203.5   4.38    50544
   77     19.2  0.4649   3.57   0.43    194.1   3.82    50163
   78     17.1  0.5063   2.51   1.49    190.4   4.10    38849
   79     22.4  0.3966   2.00   1.00    187.6   4.60    48127

==== DEVELOPMENT  Scenario B ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   50     53.8  0.1489   1.00   0.00    222.8   5.10
   51     32.8  0.2362   2.00   0.00    220.3   5.66
   52     54.7  0.1484   2.00   0.00    226.5   5.46
   53     43.3  0.1567   2.00   0.00    213.9   5.35
