
==== DEVELOPMENT  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   91     45.3  0.2046   1.00   3.00    196.8   4.87     2177
   92     41.0  0.2285   3.00   1.00    202.3   4.71    21277
   93     36.0  0.2740   1.00   3.00    207.6   5.68      890
   94     29.4  0.3240   1.00   1.00    203.2   5.31     1441
   95     42.2  0.2204   2.00   2.00    197.4   5.25     1941
   96     35.1  0.2640   2.00   1.00    193.0   4.87     1608
   97     31.9  0.2953   3.00   1.00    206.5   4.52    36957
   98      0.0  5.1067   4.00   0.00    195.9    nan   107771
   99     38.3  0.2451   2.00   1.00    202.6   6.15    10734
-- ospf
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     32.9  0.2696   4.00   0.00    193.2   4.43    35825
   81     35.5  0.2535   4.00   0.00    191.4   3.88     1439
   82     39.1  0.2288   4.00   0.00    192.4   4.25     2794
   83     17.9  0.4846   4.00   0.00    188.6   3.97    10226
   84     41.7  0.2094   2.00   0.00    186.5   4.02     1786
   85     28.3  0.3008   4.00   0.00    188.0   3.82    48532
   86     28.5  0.3029   2.00   0.00    186.8   4.60    11939
   87     31.8  0.2810   3.00   0.00    192.1   4.36     2502
   88     36.2  0.2483   4.00   0.00    193.8   4.54    10252
   89     26.8  0.3261   3.00   0.00    187.4   3.93     1322
   90     37.4  0.2380   2.00   0.00    192.2   4.96     8922
   91     32.9  0.2603   4.00   0.00    184.6   4.25    12690
   92     34.9  0.2523   4.00   0.00    192.8   3.83    40787
   93     32.9  0.2723   4.00   0.00    188.6   4.39      861
   94     22.0  0.3980   2.00   0.00    190.0   4.51     8979
   95     35.3  0.2439   4.00   0.00    184.0   4.36     1657
   96     16.5  0.5285   3.00   0.00    191.4   3.83    19552
   97     31.9  0.2799   4.00   0.00    195.7   4.24    36451
   98     24.0  0.3839   4.00   0.00    201.9   4.03    27359
   99     33.7  0.2644   3.00   0.00    193.6   4.70    25755
-- olsr
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     32.9  0.2684   4.00   0.00    193.2   4.60    35268
   81     35.5  0.2523   4.00   0.00    191.4   4.03      891
   82     39.1  0.2277   4.00   0.00    192.4   4.41     2136
   83     17.9  0.4827   4.00   0.00    188.6   4.13     9967
   84     41.7  0.2084   2.00   0.00    186.5   4.16     1098
   85     28.3  0.2994   4.00   0.00    188.0   3.97    48020
   86     28.5  0.3014   2.00   0.00    186.8   4.77    11396
   87     31.8  0.2796   3.00   0.00    192.1   4.53     1926
   88     36.2  0.2471   4.00   0.00    193.8   4.71     9603
   89     26.8  0.3244   3.00   0.00    187.4   4.08      836
   90     37.4  0.2371   2.00   0.00    192.2   5.14     8366
   91     32.9  0.2591   4.00   0.00    184.6   4.42    12109
   92     34.9  0.2513   4.00   0.00    192.8   3.97    40234
   93     32.9  0.2712   4.00   0.00    188.6   4.55      594
   94     22.0  0.3960   2.00   0.00    190.0   4.68     8577
   95     35.3  0.2426   4.00   0.00    184.0   4.53     1012
   96     16.5  0.5264   3.00   0.00    191.4   3.98    19307
   97     31.9  0.2786   4.00   0.00    195.7   4.39    35896
   98     24.0  0.3824   4.00   0.00    201.9   4.18    26995
   99     33.7  0.2633   3.00   0.00    193.6   4.87    25254
-- batman
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     32.9  0.2619   4.00   0.00    188.9   4.43    34850
   81     35.5  0.2462   4.00   0.00    187.1   3.88      564
   82     39.1  0.2222   4.00   0.00    188.1   4.25     1677
   83     17.9  0.4709   4.00   0.00    184.3   3.97     9744
   84     41.7  0.2033   2.00   0.00    182.2   4.02      699
   85     28.3  0.2921   4.00   0.00    183.7   3.82    47697
   86     28.5  0.2940   2.00   0.00    182.6   4.60    11080
   87     31.8  0.2729   3.00   0.00    187.8   4.36     1545
   88     36.2  0.2412   4.00   0.00    189.5   4.54     9153
   89     26.8  0.3165   3.00   0.00    183.1   3.93      555
   90     37.4  0.2312   2.00   0.00    187.9   4.96     7797
   91     32.9  0.2526   4.00   0.00    180.3   4.25    11705
   92     34.9  0.2452   4.00   0.00    188.4   3.83    39800
   93     32.9  0.2645   4.00   0.00    184.3   4.39      368
   94     22.0  0.3864   2.00   0.00    185.7   4.51     8329
   95     35.3  0.2366   4.00   0.00    179.7   4.36      641
   96     16.5  0.5134   3.00   0.00    187.1   3.83    19066
   97     31.9  0.2721   4.00   0.00    191.4   4.24    35549
   98     24.0  0.3734   4.00   0.00    197.6   4.03    26673
   99     33.7  0.2568   3.00   0.00    189.4   4.70    24750
-- aodv
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     32.9  0.2685   4.00   0.00    188.8   4.33    37851
   81     35.5  0.2528   4.00   0.00    187.0   3.79     2863
   82     39.1  0.2273   4.00   0.00    188.0   4.16     4865
   83     17.9  0.4827   4.00   0.00    184.2   3.88    11390
   84     41.7  0.2083   2.00   0.00    182.1   3.93     3541
   85     28.3  0.2996   4.00   0.00    183.6   3.74    50375
   86     28.5  0.3007   2.00   0.00    182.4   4.49    13450
   87     31.8  0.2797   3.00   0.00    187.7   4.26     4363
   88     36.2  0.2471   4.00   0.00    189.4   4.44    12391
   89     26.8  0.3247   3.00   0.00    183.0   3.84     2830
   90     37.4  0.2374   2.00   0.00    187.8   4.85    11413
   91     32.9  0.2582   4.00   0.00    180.2   4.15    14344
   92     34.9  0.2513   4.00   0.00    188.4   3.74    42946
   93     32.9  0.2717   4.00   0.00    184.2   4.29     1372
   94     22.0  0.3954   2.00   0.00    185.6   4.40    10167
   95     35.3  0.2431   4.00   0.00    179.6   4.26     3729
   96     16.5  0.5269   3.00   0.00    187.0   3.74    20673
   97     31.9  0.2793   4.00   0.00    191.3   4.14    38667
   98     24.0  0.3831   4.00   0.00    197.5   3.93    28936
   99     33.7  0.2631   3.00   0.00    189.2   4.60    27740
-- random
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     19.1  0.4384   2.58   1.42    192.3   4.52    81990
   81     20.9  0.4024   3.62   0.38    182.6   3.94    34969
   82     21.4  0.4105   2.27   1.73    195.5   4.17    62345
   83     12.6  0.7123   2.61   1.39    189.9   4.41    30659
   84     22.4  0.3771   1.40   0.60    190.8   4.20    51435
   85     16.8  0.4666   3.52   0.48    187.1   3.94    85203
   86     15.6  0.5027   1.50   0.50    182.1   4.37    54072
   87     19.5  0.4508   1.90   1.10    192.5   4.28    45128
   88     21.5  0.4118   2.44   1.56    201.0   4.69    59334
   89     14.0  0.6101   2.70   0.30    185.8   3.97    43182
   90     18.7  0.4664   1.44   0.56    198.0   4.72    73078
   91     19.8  0.4328   2.71   1.29    185.6   3.88    58996
   92     22.4  0.3802   3.56   0.44    187.9   4.05    84732
   93     19.5  0.5028   2.53   1.47    201.5   4.66    13590
   94     13.4  0.6956   1.52   0.48    196.4   4.68    41594
   95     18.5  0.4498   3.12   0.88    182.4   3.97    53992
   96     14.8  0.5793   2.56   0.44    186.6   3.93    29377
   97     18.9  0.4932   3.50   0.50    198.8   4.16    82722
   98     18.7  0.4803   2.46   1.54    198.8   4.08    46950
   99     16.8  0.4850   2.49   0.51    194.0   4.78    80766

==== CONFIRMATORY  Scenario B ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     58.1  0.1404   1.00   2.00    227.5   5.23
   81     47.9  0.1782   2.00   0.00    245.7   5.69
   82     46.8  0.1644   1.00   0.00    234.9   5.74
   83     40.4  0.1978   2.00   0.00    203.9   5.04
   84     44.2  0.1636   1.00   0.00    213.8   5.38
   85     48.4  0.1601   2.00   0.00    210.6   4.78
   86     41.9  0.1872   1.00   0.00    227.1   5.53
   87     50.9  0.1702   1.00   1.00    248.4   5.19
   88     48.8  0.1500   3.00   0.00    213.7   5.70
   89     32.2  0.2317   2.00   0.00    210.5   4.47
   90     58.5  0.1404   1.00   0.00    225.5   5.84
   91     38.6  0.1905   1.00   1.00    210.8   4.91
   92     58.0  0.1432   2.00   0.00    235.9   5.78
   93     47.6  0.1676   1.00   1.00    216.9   5.20
   94     36.4  0.2096   1.00   0.00    223.3   5.78
   95     53.3  0.1490   2.00   0.00    219.1   5.14
   96     29.3  0.2566   2.00   0.00    211.2   4.66
   97     59.6  0.1344   2.00   0.00    229.9   6.23
   98     48.3  0.1635   1.57   0.43    221.5   5.44
   99     47.3  0.1719   2.00   0.00    228.9   5.43
-- marl_freeze
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     65.2  0.1393   1.00   2.00    242.9   4.96
   81     61.2  0.1420   2.00   0.00    234.8   5.57
   82     47.7  0.1625   1.00   0.00    230.7   5.64
   83     37.7  0.2052   2.00   0.00    216.9   4.28
   84     50.4  0.1583   1.00   0.00    223.8   5.49
   85     52.4  0.1571   2.00   0.00    215.9   4.64
   86     42.9  0.1897   1.00   0.00    216.3   5.22
   87     58.4  0.1566   1.00   1.00    247.7   5.33
   88     59.1  0.1419   3.00   0.00    237.2   6.06
   89     33.8  0.2275   2.00   0.00    216.9   4.50
   90     53.6  0.1570   1.00   0.00    228.3   5.94
   91     37.9  0.1931   1.00   1.00    207.2   5.27
   92     65.6  0.1370   2.00   0.00    242.4   5.33
   93     52.5  0.1649   1.00   1.00    230.1   5.30
   94     42.2  0.1850   1.00   0.00    211.2   5.85
   95     64.9  0.1347   2.00   0.00    232.8   5.36
   96     30.0  0.2798   2.00   0.00    228.0   4.54
   97     60.3  0.1437   2.00   0.00    241.0   5.43
   98     59.2  0.1459   1.00   1.00    230.9   5.65
   99     60.5  0.1409   2.00   0.00    226.1   6.07
-- xldet
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     57.6  0.1362   1.00   2.00    218.5   5.52
   81     39.9  0.2022   2.00   0.00    228.9   5.83
   82     39.4  0.2038   1.00   0.00    244.6   5.77
   83     29.2  0.2845   2.00   0.00    203.2   5.04
   84     43.8  0.1579   1.00   0.00    203.4   5.30
   85     48.6  0.1619   2.00   0.00    208.9   5.27
   86     38.6  0.1870   1.00   0.00    203.4   5.81
   87     52.5  0.1620   1.00   1.00    250.5   6.17
   88     53.8  0.1419   2.00   1.00    217.5   6.12
   89     31.3  0.2286   2.00   0.00    199.9   4.83
   90     51.6  0.1652   1.00   0.00    231.0   6.12
   91     31.1  0.2269   1.00   1.00    202.6   5.17
   92     54.2  0.1537   2.00   0.00    230.5   5.78
   93     41.1  0.1958   1.00   1.00    205.9   5.24
   94     17.3  0.4334   1.00   0.00    227.5   5.38
   95     43.9  0.1756   2.00   0.00    215.1   5.21
   96     29.5  0.2589   2.00   0.00    214.5   4.85
   97     40.8  0.1996   2.00   0.00    234.3   5.99
   98     41.7  0.1880   1.00   1.00    219.0   5.55
   99     45.3  0.1897   2.00   0.00    235.8   5.60
-- sdn
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     48.6  0.1472   1.00   2.00    201.9   4.92
   81     37.2  0.1975   2.00   0.00    206.3   5.19
   82     35.5  0.1862   1.00   0.00    200.6   5.38
   83     29.1  0.2611   2.00   0.00    189.1   4.65
   84     34.3  0.1848   1.00   0.00    187.7   4.66
   85     49.0  0.1446   2.00   0.00    189.3   4.86
   86     33.7  0.2099   1.00   0.00    194.5   5.48
   87     44.2  0.1645   1.00   1.00    209.6   5.54
   88     40.7  0.1717   2.00   1.00    200.5   4.89
   89     28.2  0.2342   2.00   0.00    186.9   4.30
   90     52.9  0.1370   1.00   0.00    196.6   5.66
   91     33.7  0.1975   1.00   1.00    190.1   4.63
   92     47.7  0.1554   2.00   0.00    204.6   5.25
   93     32.3  0.2245   1.00   1.00    191.5   4.83
   94     26.3  0.2557   1.00   0.00    195.5   5.14
   95     40.4  0.1766   2.00   0.00    196.3   5.18
   96     22.7  0.3042   2.00   0.00    194.0   4.59
   97     45.4  0.1569   2.00   0.00    200.8   5.63
   98     35.7  0.2062   1.00   1.00    204.8   5.19
   99     45.4  0.1560   2.00   0.00    199.7   5.33
-- ospf
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     45.3  0.1558   3.00   0.00    198.8   4.84
   81     33.8  0.2100   2.00   0.00    203.0   5.36
   82     34.8  0.1860   1.00   0.00    195.3   5.59
   83     27.8  0.2753   2.00   0.00    189.0   4.77
   84     33.8  0.1886   1.00   0.00    187.8   4.81
   85     47.7  0.1511   2.00   0.00    192.3   4.98
   86     28.7  0.2367   1.00   0.00    193.4   5.38
   87     34.2  0.2001   2.00   0.00    198.8   5.25
   88     39.6  0.1762   3.00   0.00    199.5   4.98
   89     27.7  0.2433   2.00   0.00    190.3   4.45
   90     52.0  0.1387   1.00   0.00    196.4   5.80
   91     32.6  0.2023   2.00   0.00    188.1   4.75
   92     41.8  0.1676   2.00   0.00    199.7   5.10
   93     31.7  0.2282   2.00   0.00    190.1   4.98
   94     25.5  0.2605   1.00   0.00    192.5   5.29
   95     37.9  0.1859   2.00   0.00    194.6   5.08
   96     21.4  0.3232   2.00   0.00    194.6   4.71
   97     44.4  0.1611   2.00   0.00    201.3   5.90
   98     34.8  0.2136   2.00   0.00    205.4   5.27
   99     44.4  0.1580   2.00   0.00    198.0   5.46
-- olsr
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     45.3  0.1559   3.00   0.00    198.8   5.02
   81     33.8  0.2101   2.00   0.00    203.0   5.56
   82     34.8  0.1860   1.00   0.00    195.3   5.80
   83     27.8  0.2756   2.00   0.00    189.0   4.96
   84     33.8  0.1887   1.00   0.00    187.8   4.98
   85     47.7  0.1512   2.00   0.00    192.3   5.16
   86     28.7  0.2367   1.00   0.00    193.4   5.58
   87     34.2  0.2001   2.00   0.00    198.8   5.44
   88     39.6  0.1762   3.00   0.00    199.5   5.16
   89     27.7  0.2434   2.00   0.00    190.3   4.62
   90     52.0  0.1388   1.00   0.00    196.4   6.01
   91     32.6  0.2023   2.00   0.00    188.1   4.93
   92     41.8  0.1677   2.00   0.00    199.7   5.28
   93     31.7  0.2284   2.00   0.00    190.1   5.17
   94     25.5  0.2606   1.00   0.00    192.5   5.49
   95     37.9  0.1860   2.00   0.00    194.6   5.27
   96     21.4  0.3232   2.00   0.00    194.6   4.89
   97     44.4  0.1611   2.00   0.00    201.3   6.12
   98     34.8  0.2137   2.00   0.00    205.4   5.47
   99     44.4  0.1581   2.00   0.00    198.0   5.66
-- batman
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     45.3  0.1530   3.00   0.00    194.6   4.84
   81     33.8  0.2062   2.00   0.00    198.8   5.36
   82     34.8  0.1821   1.00   0.00    191.1   5.59
   83     27.8  0.2714   2.00   0.00    184.9   4.77
   84     33.8  0.1847   1.00   0.00    183.6   4.81
   85     47.7  0.1485   2.00   0.00    188.1   4.98
   86     28.7  0.2320   1.00   0.00    189.2   5.38
   87     34.2  0.1964   2.00   0.00    194.6   5.25
   88     39.6  0.1729   3.00   0.00    195.3   4.98
   89     27.7  0.2387   2.00   0.00    186.1   4.45
   90     52.0  0.1363   1.00   0.00    192.2   5.80
   91     32.6  0.1980   2.00   0.00    183.9   4.75
   92     41.8  0.1645   2.00   0.00    195.5   5.10
   93     31.7  0.2245   2.00   0.00    185.9   4.98
   94     25.5  0.2556   1.00   0.00    188.4   5.29
   95     37.9  0.1826   2.00   0.00    190.5   5.08
   96     21.4  0.3166   2.00   0.00    190.4   4.71
   97     44.4  0.1580   2.00   0.00    197.1   5.90
   98     34.8  0.2098   2.00   0.00    201.2   5.27
   99     44.4  0.1552   2.00   0.00    193.8   5.46
-- aodv
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     45.3  0.1526   3.00   0.00    194.4   4.74
   81     33.8  0.2056   2.00   0.00    198.6   5.25
   82     34.8  0.1818   1.00   0.00    190.9   5.47
   83     27.8  0.2695   2.00   0.00    184.6   4.66
   84     33.8  0.1843   1.00   0.00    183.4   4.70
   85     47.7  0.1479   2.00   0.00    187.9   4.87
   86     28.7  0.2315   1.00   0.00    189.0   5.26
   87     34.2  0.1958   2.00   0.00    194.4   5.13
   88     39.6  0.1724   3.00   0.00    195.1   4.87
   89     27.7  0.2380   2.00   0.00    185.9   4.35
   90     52.0  0.1358   1.00   0.00    192.0   5.68
   91     32.6  0.1975   2.00   0.00    183.7   4.64
   92     41.8  0.1640   2.00   0.00    195.3   4.99
   93     31.7  0.2234   2.00   0.00    185.7   4.86
   94     25.5  0.2549   1.00   0.00    188.1   5.17
   95     37.9  0.1818   2.00   0.00    190.2   4.97
   96     21.4  0.3160   2.00   0.00    190.2   4.59
   97     44.4  0.1576   2.00   0.00    196.9   5.78
   98     34.8  0.2092   2.00   0.00    201.0   5.15
   99     44.4  0.1547   2.00   0.00    193.6   5.34
-- random
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms
   80     23.4  0.3119   2.03   0.97    204.8   4.33
   81     22.2  0.3497   2.00   0.00    202.4   4.78
   82     17.8  0.3746   1.00   0.00    202.2   4.84
   83     16.3  0.4622   2.00   0.00    193.9   4.33
   84     17.8  0.3877   1.00   0.00    194.9   4.53
   85     22.8  0.3073   2.00   0.00    196.9   4.33
   86     19.0  0.4059   1.00   0.00    193.7   4.67
   87     21.5  0.3324   1.51   0.49    207.7   4.38
   88     21.8  0.3292   2.00   1.00    206.9   4.73
   89     14.3  0.4820   2.00   0.00    191.8   4.05
   90     24.4  0.3051   1.00   0.00    201.4   4.90
   91     17.4  0.3986   1.44   0.56    192.0   4.27
   92     27.3  0.2885   2.00   0.00    207.3   4.57
   93     18.0  0.4105   1.56   0.44    196.1   4.40
   94     15.0  0.5115   1.00   0.00    196.1   4.82
   95     20.8  0.3657   2.00   0.00    199.0   4.20
   96     14.4  0.5289   2.00   0.00    197.7   4.11
   97     22.8  0.3196   2.00   0.00    205.5   4.99
   98     18.2  0.4131   1.41   0.59    204.1   4.30
   99     21.1  0.3233   2.00   0.00    197.9   4.76
